feature,importance
P3_std_60d_mom_20d,0.0
P3_std_5d_mom_20d,0.0
P3_std_5d_acc_5d,0.0
P3_std_5d,0.0
P3_std_20d_mom_20d,0.0
P3_std_20d_acc_5d,0.0
P3_std_20d,0.0
P3_pct_chg_5d_mom_20d,0.0
P3_pct_chg_5d_acc_5d,0.0
P3_pct_chg_5d,0.0
P3_mom_20d,0.0
D2,0.0
P3_mean_5d_mom_20d,0.0
P3_mean_5d_acc_5d,0.0
P3_mean_20d_mom_20d,0.0
P3_mean_20d_acc_5d,0.0
P3_lag5_mom_20d,0.0
P3_lag5_acc_5d,0.0
P3_lag20_mom_20d,0.0
P3_lag20_acc_5d,0.0
P3_lag20,0.0
P3_lag1_mom_20d,0.0
P3_lag1_acc_5d,0.0
P3_lag1,0.0
P3_acc_5d,0.0
P3,0.0
P2_zscore_20d_mom_20d,0.0
P2_zscore_20d_acc_5d,0.0
P2_zscore_20d,0.0
P2_std_5d_acc_5d,0.0
P3_std_60d,0.0
P3_zscore_20d,0.0
P13_lag20,0.0
P3_zscore_20d_mom_20d,0.0
P5_lag1_acc_5d,0.0
P5_acc_5d,0.0
P5,0.0
P4_zscore_20d_mom_20d,0.0
P4_zscore_20d,0.0
P4_std_60d_mom_20d,0.0
P4_std_60d,0.0
P4_std_5d_mom_20d,0.0
P4_std_5d_acc_5d,0.0
P4_std_5d,0.0
P4_pct_chg_5d_acc_5d,0.0
P4_pct_chg_5d,0.0
P4_mom_20d,0.0
P4_mean_60d_mom_20d,0.0
P4_mean_60d_acc_5d,0.0
P4_mean_5d_mom_20d,0.0
P4_mean_5d_acc_5d,0.0
P4_mean_5d,0.0
P4_mean_20d_mom_20d,0.0
P4_mean_20d_acc_5d,0.0
P4_mean_20d,0.0
P4_lag5_mom_20d,0.0
P4_lag20_mom_20d,0.0
P4_lag20,0.0
P4_lag1_mom_20d,0.0
P4_lag1_acc_5d,0.0
P4_lag1,0.0
P4_acc_5d,0.0
P4,0.0
P2_std_20d_mom_20d,0.0
P2_std_20d_acc_5d,0.0
P2_std_20d,0.0
P2_mom_20d,0.0
P1_mean_20d,0.0
P1_lag5_mom_20d,0.0
P1_lag5_acc_5d,0.0
P1_lag5,0.0
P1_lag20_mom_20d,0.0
P1_lag20,0.0
P1_lag1_mom_20d,0.0
P1_lag1,0.0
P1_acc_5d,0.0
P13_zscore_20d,0.0
P13_std_60d_mom_20d,0.0
P13_std_60d,0.0
P13_std_5d_acc_5d,0.0
P13_std_5d,0.0
P13_std_20d_mom_20d,0.0
P13_std_20d,0.0
P13_pct_chg_5d_acc_5d,0.0
P13_pct_chg_5d,0.0
P13_mom_20d,0.0
P13_mean_60d_acc_5d,0.0
P13_mean_5d_mom_20d,0.0
P13_mean_5d_acc_5d,0.0
P13_mean_5d,0.0
P13_mean_20d_mom_20d,0.0
P13_lag5_mom_20d,0.0
P13_lag5_acc_5d,0.0
P13_lag5,0.0
P13_lag20_mom_20d,0.0
P13_lag20_acc_5d,0.0
P1_mean_20d_mom_20d,0.0
P1_mean_5d,0.0
P1_mean_5d_acc_5d,0.0
P2_acc_5d,0.0
P2_mean_60d_mom_20d,0.0
P2_mean_60d_acc_5d,0.0
P2_mean_5d_mom_20d,0.0
P2_mean_5d,0.0
P2_mean_20d_mom_20d,0.0
P2_mean_20d_acc_5d,0.0
P2_mean_20d,0.0
P2_lag20_mom_20d,0.0
P2_lag20_acc_5d,0.0
P2_lag20,0.0
P2_lag1_mom_20d,0.0
P2_lag1_acc_5d,0.0
P2_lag1,0.0
P2,0.0
P1_mean_5d_mom_20d,0.0
P1_zscore_20d_mom_20d,0.0
P1_zscore_20d_acc_5d,0.0
P1_std_60d,0.0
P1_std_5d_mom_20d,0.0
P1_std_5d_acc_5d,0.0
P1_std_20d_mom_20d,0.0
P1_std_20d,0.0
P1_pct_chg_5d_mom_20d,0.0
P1_pct_chg_5d,0.0
P1_mom_20d,0.0
P1_mean_60d_mom_20d,0.0
P1_mean_60d_acc_5d,0.0
P1_mean_60d,0.0
risk_free_rate_zscore_20d,0.0
